Field Type,ID,Field Name,Original Text,Translated Text,,
DictKey_ActionText_,1268,DictKey_ActionText_1268,"Check the surroundings of the target and decide, which weapon would be the best for the given situation. \
\
Take into account proximity of civilian infrastructure, vehicles etc.\
\
When ready, use F10 to report to Overlord.","检查目标周围环境，并决定哪种武器最适合当前情况。\
\
需要考虑民用基础设施、车辆等到目标的距离。\
\
准备好后，使用F10向Overlord报告。",,
DictKey_ActionText_,1273,DictKey_ActionText_1273,.,。,,
DictKey_ActionText_,1281,DictKey_ActionText_1281,,,,
DictKey_ActionText_,1285,DictKey_ActionText_1285,.,。,,
DictKey_ActionText_,1289,DictKey_ActionText_1289,.,。,,
DictKey_ActionText_,1293,DictKey_ActionText_1293,"Prowler has taken heavy damage, mission FAILED.",Prowler受到重创，任务失败。,,
DictKey_ActionText_,1406,DictKey_ActionText_1406,"CHARLIE 13\
\
A garage built from red bricks, north of the smoking chimney.","CHARLIE 13\
\
红砖建成的车库，位于冒烟烟囱的北侧。",,
DictKey_ActionText_,1471,DictKey_ActionText_1471,,,,
DictKey_ActionText_,1479,DictKey_ActionText_1479,"MISSION COMPLETE\
\
Taxi to parking area and shut down your jet. You may exit at any time.","任务完成\
\
滑行至停机区并关车。你可以随时退出。",,
DictKey_ActionText_,1483,DictKey_ActionText_1483,MISSION WILL COUNT AS A SUCCESS. YOU CAN EXIT NOW. SORRY FOR INCONVENIENCE!,任务将记为成功。你现在可以退出。对带来的不便表示歉意！,,
DictKey_ActionText_,1491,DictKey_ActionText_1491,"You have successfully escorted convoy bringing vital supplies from the Batumi port to Kobuleti AB. You have also repelled enemy attack, which was carried out despite extreme security measures put in place by the Georgian hosts. If anything, this shows the unique ability of the CLA to act under any circumstances.\
\
Your choice to engage enemy infantry with the gun was indeed the right one. Avenger is almost a precision weapon and - if used correctly - brings minimal risk of collateral damage.","你已成功护送车队，将重要补给从Batumi港运送至Kobuleti空军基地。尽管东道主格鲁吉亚采取了极端的安全措施，你也成功击退了敌人的攻击，但本次行动仍然表明，高加索解放阵营拥有几乎在任何态势下都能作战的独特能力。\
\
你选择使用机炮攻击敌方步兵无疑是正确的。复仇者机炮几乎相当于精确武器，如果使用得当，带来的附带损害风险极小。",,
DictKey_ActionText_,1493,DictKey_ActionText_1493,"You have successfully escorted convoy bringing vital supplies from the Batumi port to Kobuleti AB. You have also repelled enemy attack, which was carried out despite extreme security measures put in place by the Georgian hosts. If anything, this shows the unique ability of the CLA to act under any circumstances.\
\
You have chosen to attack the enemy forces with Mk151 rockets. These are not as accurate as the Avenger gun and increased the risk of additional collateral damage. Next time in similar circumstances it would be wiser to use the cannon.","你已成功护送车队，将重要补给从Batumi港运送至Kobuleti空军基地。尽管东道主格鲁吉亚采取了极端的安全措施，你也成功击退了敌人的攻击，但本次行动仍然表明，高加索解放阵营拥有几乎在任何态势下都能作战的独特能力。\
\
你选择使用Mk151火箭弹攻击敌军。这些火箭弹的精确度不如复仇者机炮，增加了附带损害的风险。下次在类似情况下，使用机炮会更明智。",,
DictKey_ActionText_,1495,DictKey_ActionText_1495,"You have successfully escorted convoy bringing vital supplies from the Batumi port to Kobuleti AB. You have also repelled enemy attack, which was carried out despite extreme security measures put in place by the Georgian hosts. If anything, this shows the unique ability of the CLA to act under any circumstances.\
\
Your choice to drop a GBU-12 bomb on the enemy forces was a questionable one. Massive explosion caused collateral damage to nearby buildings and wounded 2 civilians. Used against infantry it was an overkill and did not go well in local media, which reported the event wide.","你已成功护送车队，将重要补给从Batumi港运送至Kobuleti空军基地。尽管东道主格鲁吉亚采取了极端的安全措施，你也成功击退了敌人的攻击，但本次行动仍然表明，高加索解放阵营拥有几乎在任何态势下都能作战的独特能力。\
\
你选择对敌军投下GBU-12炸弹是一个值得商榷的决定。巨大的爆炸对附近建筑物造成了附带损害，并导致2名平民受伤。对付步兵时，这种做法过于极端，并且在当地媒体中引起了广泛报道，影响不好。",,
DictKey_ActionText_,1507,DictKey_ActionText_1507,,,,
DictKey_ActionText_,1508,DictKey_ActionText_1508,,,,
DictKey_descriptionBlueTask_,3,DictKey_descriptionBlueTask_3,"“Alright, people. This sortie is important for two reasons. One: we are protecting our own equipment and vehicles coming from Aviano which we will need in the coming days or weeks. Two: this convoy will of course attract a lot of attention from the locals. For that reason we have set up a zone where they can watch Prowler as they pass by, and we have declared the rest of the route as “off limits” to anyone.  So all the civilians will be standing in zone Alpha. The media crews will also be present, at least two in helicopters. These helos are not authorised to leave that zone. If need be you may reach them on Guard, they are instructed to monitor it at all times. \
\
The rest of the route has been divided into seven subsequent zones from Bravo to Hotel. You have an aerial photo of each zone in your kneeboard, divided into smaller squares. This should speed up identification and location of potential targets or threats. \
\
Game plan is as follows: you will take off and anchor at WP 2, where you will contact Prowler. As they start to move you will circle overhead, monitoring the road ahead of the convoy. If you spot anything suspicious, you stop the convoy and contact us. Once the road is clear again, you tell the Prowler to move out. \
\
It is up to you if you prefer to stay high or low. We currently only have one TGP, so dash 2 will have to use good old binos. \
\
Prowler will report entering to each of the zones. Maintain constant communication with them on Fox Mike. \
\
Finally - this is an urban area and a middle of a friendly town. Be very mindful of what weapon you are going to use - if any. It may well be the CLA plan to provoke an overkill and then blame us for any civilian casualties or collateral damage. Don’t have to tell you how poorly it would look on the second day of operations. \
\
That is all from my side. Make sure to study additional info available in your kneeboards. Good luck and godspeed.” \
\
\
Frequencies:\
AOC: Overlord: 140.5 AM\
Dodge 1 (Your flight, 2 A10s): 251 UHF\
Prowler 1 (US convoy): 35.6 FM\
Guard Channel: 121.5 AM\
\
WEATHER\
Scattered clouds (cloud base 8200 feet), temperature 12 deg. C\
\
OBJECTIVES OVERVIEW\
\
PRIMARY:\
Escort Prowler 1 from Batumi port to Kobuleti AB. \
\
SECONDARY: \
Engage and destroy enemy targets.\
\
REMARKS:\
- Civilian bystanders and media, including helicopters, only allowed in zone ALPHA. \
- Zones BRAVO to HOTEL are off - limits to any civilian movement. \
- If any threat or suspicious activity is spotted, stop Prowler and contact Overlord. \
- Pay attention when choosing weapons and engaging enemy, highly populated AO.\
\
*** DESIGNER's NOTES ****\
- Make sure to set option \""CHIMNEY SMOKE DENSITY\"" to at least 1.\
- Make sure to disable civilian traffic or at least disable enforcing your own settings in all missions  in options menu.","“好了，各位。这次出击有两个重要任务。第一：我们要保护从意大利Aviano空军基地运来的装备和车辆，这些东西在未来几天或几周的行动中会用到。第二：这支车队理所应当的，会吸引本地居民大量关注。因此，我们设立了一个区域，让他们可以在Prowler经过时观看。我们同时宣布，路线的其余部分对所有人都是禁区。所以，平民都会聚集在Alpha区域。媒体团队也会在场，至少有两架直升机。这些直升机不允许离开这一区域。如有需要，你可以通过Guard频率联系他们，他们被要求随时监听该频率。\
\
路线的其余部分被分为从Bravo到Hotel的七个连续区域。你在膝板上有每个区域的航拍照片，分为更小的方格。这应该能加快潜在目标或威胁的识别和定位。\
\
计划如下：起飞并在航路点2处盘旋，在那里联系Prowler。当他们开始移动时，你在上空盘旋，监控车队前方的道路。如果发现任何可疑情况，叫停车队并联系我们。一旦道路再次清空，你通知Prowler继续前进。\
\
你可以选择高空或低空，都可以。我们目前只有一个TGP，所以2号机不得不使用传统的双筒望远镜。\
\
Prowler进入每个区域时会报告。通过FM与他们保持通信。\
\
最后——本次任务位于一个人口密集区，是友方城镇的市中心。使用武器时千万要小心——如果确实要进攻的话。高加索解放阵营很可能故意刺激我们，让我们过度反应，然后把平民伤亡或附带损害归咎于我们。不用我多说，如果在行动开始的第二天就发生这些事情，那简直就糟透了。\
\
我这边就这些。仔细阅读膝板上提供的额外信息。祝好运，愿上帝保佑。”\
\
\
频率：\
AOC: Overlord: 140.5 AM\
Dodge 1（你的小队，2架A10）：251 UHF\
Prowler 1（美军车队）：35.6 FM\
Guard频道：121.5 AM\
\
天气：\
零散云（云底高度8200英尺），温度12摄氏度\
\
任务概述：\
\
主要任务：\
护送Prowler 1从Batumi港到Kobuleti空军基地。\
\
次要任务：\
攻击并摧毁敌方目标。\
\
备注：\
- 平民旁观者和媒体，包括直升机，只允许在Alpha区域活动。\
- Bravo到Hotel区域禁止任何平民活动。\
- 如果发现任何威胁或可疑活动，叫停Prowler并联系Overlord。\
- 在选择武器和攻击敌人时，要留意人口密集区。\
\
*** 设计者备注 ***\
- 确保将“烟囱烟雾密度”选项设置为至少1。\
- 确保在选项菜单中禁用民用交通，或至少禁用“在所有任务中强制执行你自己的设置”选项。",,
DictKey_descriptionNeutralsTask_,4,DictKey_descriptionNeutralsTask_4,,,,
DictKey_descriptionRedTask_,2,DictKey_descriptionRedTask_2,,,,
DictKey_descriptionText_,1,DictKey_descriptionText_1,"28 March 2012, 07:15 local time\
\
(Major Nicholas Grey, Squadron intelligence officer, sits in the briefing room, waiting for everyone to take their seats. He then stands up, looks around and begins)\
\
Good morning, ladies and gentlemen. Welcome on this first operational sortie, where you will be flying an overwatch over the friendly convoy bringing so much needed munitions, equipment and spare parts. But first a word of introduction about the general situation. \
\
As you might have noticed yesterday during the landing, it is bad. The CLA is striking civilian and military targets on a daily basis, using bombs, IEDs, snipers and suicide bombers. They have this incredible ability of showing up unexpectedly and out of nowhere and then disappearing again, very much as the Taliban did in Afghanistan. They seem to have access to Georgian military uniforms and armament. And they are determined to secure their full control over vast parts of the country in the north. Well, that’s the general situation. \
\
Colonel will brief you on the specific tasking, but before that happens, a short overview of threat assessment. Together with the GIS, or Georgian Intelligence Service, we have set it at a MEDIUM level, which means that attack on USAF ground and airborne assets are quite likely. These may take the form of an IED, although the Georgians ensured us that they have sweeped the route of the convoy. It may also be a small group of insurgents using RPGs and rifles - so be prepared for anything and keep your eyes on the road ahead of the convoy at all times. Any questions?\
\
(CAPTAIN, your wingman for this sortie, raises his hand. Major Grey points at him).\
\
“Yes, captain?” \
\
“What is the role of the Georgian forces located in the area? When we detect the enemy, is it their responsibility to react or should we engage?”\
\
“If you spot anything suspicious, you will stop Prowler and inform Overlord. We will then do the necessary to liaise with the Georgians and make sure that a patrol is sent to the location which you provide. However, if Prowler is under direct attack or if you are 100% positive that you are looking at the insurgents, then Overlord will authorise you to engage the targets. Anything else?”\
\
(Silence. Major nods his heads and sits down, replaced by Col. Berry). \","2012年3月28日，07:15当地时间\
\
（少校尼古拉斯·格雷，中队情报官，坐在简报室，等待所有人就座。他随后站起身，环顾四周并开始讲话）\
\
早上好，女士们，先生们。欢迎参加你们的首次作战行动，你们将为运送急需弹药、装备和备件的友军车队提供空中侦察和掩护。但首先，我要介绍一下总体情况。\
\
正如你们昨天在降落时遇到的，现在情况很糟。高加索解放阵营每天都在搞袭击，军用目标和民用目标都打，袭击方式多种多样，包括炸弹、简易爆炸物（IED）、狙击手和自杀式爆炸。他们有着难以置信的能力，能出其不意地出现，然后消失得无影无踪，就像塔利班在阿富汗的做法。他们似乎能搞到格鲁吉亚的军装和武器。他们决心在北部地区全面控制大片国土。这就是现在的总体态势。\
\
上校会向你们简述任务细节，但在此之前，我需要先介绍一下威胁评估。我们与格鲁吉亚情报局（GIS）都认为，当前的威胁是中等水平，这意味着美国空军的地面资产和空中资产都可能遭到攻击。这些攻击可能是简易爆炸物（IED）的形式，尽管格鲁吉亚方面向我们保证过，他们已经清扫了车队的路线。袭击也可能来自于一小群使用RPG和步枪的叛乱分子——所以要做好准备，时刻关注车队前方的道路。有什么问题吗？\
\
（CAPTAIN，你此次出击的僚机，举手。格雷少校指向他。）\
\
“有什么问题，上尉？”\
\
“驻扎在这一地区的格鲁吉亚部队扮演什么角色？当我们发现敌人时，是他们负责处理，还是我们直接介入？”\
\
“如果你发现任何可疑情况，你要叫停Prowler并通知Overlord。然后我们将与格鲁吉亚方面联系，派遣巡逻队到你提供的位置。然而，如果Prowler受到直接攻击，或者你百分之百确定你看到的是叛乱分子，那么Overlord将授权你攻击目标。还有其他问题吗？”\
\
（沉默。少校点头并坐下，由贝里上校接替，继续简报。）",,
DictKey_sortie_,5,DictKey_sortie_5,TEW3 M02: Supplies,TEW3 M02：补给,,
DictKey_subtitle_,450,DictKey_subtitle_450,"PLAYER: Prowler 1, Dodge 1-1, checking in as fragged. We're on station and ready to provide air cover and two pairs of eyes on the road ahead of you.",玩家：Prowler 1，这里是Dodge 1-1，按计划就位。我们在空中待命，准备为你提供空中掩护，并监视你前方的道路。,,
DictKey_subtitle_,452,DictKey_subtitle_452,"PROWLER 1: Dodge 1-1, Prowler, roger. We're oscar mike, entering Alpha.",PROWLER 1：Dodge 1-1，这里是Prowler，收到。我们正在移动，进入Alpha区域。,,
DictKey_subtitle_,454,DictKey_subtitle_454,"PLAYER: Dodge 1-1 copies, we'll inform you if we spot anything out of place.",玩家：Dodge 1-1收到，如果发现任何异常，我们会通知你。,,
DictKey_subtitle_,456,DictKey_subtitle_456,,,,
DictKey_subtitle_,486,DictKey_subtitle_486,"WINGMAN (CAPTAIN): This is two, let me get my binos ready. Just like good old times.",僚机（CAPTAIN）：这里是二号，我会准备好我的双筒望远镜。就像我们曾经的“快乐时光”那样。,,
DictKey_subtitle_,488,DictKey_subtitle_488,"PLAYER: If you want me to check something out for you with the TGP, just shout.",玩家：如果你需要我用TGP帮你查看什么，尽管喊我。,,
DictKey_subtitle_,490,DictKey_subtitle_490,"WINGMAN (CAPTAIN): Yeah, wilco.",僚机（CAPTAIN）：好的。,,
DictKey_subtitle_,492,DictKey_subtitle_492,"WINGMAN (CAPTAIN): Damn, so many people. On the streets, in the windows. The guys in that convoy must feel like our grandfathers when they were liberating France.",僚机（CAPTAIN）：该死，这么多人。街上，窗户里，到处都是。车队里的那些家伙一定感觉像我们的祖辈解放法国时一样。,,
DictKey_subtitle_,494,DictKey_subtitle_494,"PLAYER: Yeah. It is too crowded, if anything happens there we won't be able to react.",玩家：是啊。人太多了，如果发生什么事情，我们无法及时反应。,,
DictKey_subtitle_,496,DictKey_subtitle_496,"WINGMAN (CAPTAIN): And what about those helos? They are authorised to film up to Bravo, then they have to turn back?",僚机（CAPTAIN）：那些直升机呢？他们被授权拍摄到Bravo，然后必须返回？,,
DictKey_subtitle_,498,DictKey_subtitle_498,PLAYER: Affirm. Just the very first part. Let’s scan up ahead and check Bravo and Charlie.,玩家：没错。只能跟随最开始的一段路程。我们巡视前方，检查Bravo和Charlie。,,
DictKey_subtitle_,500,DictKey_subtitle_500,WINGMAN (CAPTAIN): Rog.,僚机（CAPTAIN）：收到。,,
DictKey_subtitle_,515,DictKey_subtitle_515,"PROWLER 1: Dodge 1-1, this is Prowler 1, entering Bravo.",PROWLER 1：Dodge 1-1，这里是Prowler 1，进入Bravo区域。,,
DictKey_subtitle_,517,DictKey_subtitle_517,"PLAYER: Prowler 1, Dodge 1-1 copies, all clear.",玩家：Prowler 1，Dodge 1-1收到，一切正常。,,
DictKey_subtitle_,523,DictKey_subtitle_523,"PLAYER: Overlord, Overlord, Dodge 1-1. Be advised, one of the civilian helicopters entered Bravo following Prowler, can you advise?",玩家：Overlord，Overlord，这里是Dodge 1-1。请注意，一架民用直升机跟随Prowler进入了Bravo区域，请指示。,,
DictKey_subtitle_,525,DictKey_subtitle_525,"OVERLORD: Dodge 1-1, Overlord, copy. Get closer and raise him on Guard.",OVERLORD：Dodge 1-1，这里是Overlord，收到。靠近一些，通过Guard频道联系他。,,
DictKey_subtitle_,527,DictKey_subtitle_527,PLAYER: Dodge 1-1 copies.,玩家：Dodge 1-1收到。,,
DictKey_subtitle_,556,DictKey_subtitle_556,"WINGMAN (CAPTAIN): One, two. I think one of the helos is still following Prowler.",僚机（CAPTAIN）：一号，这里是二号。我觉得，有一架直升机仍在跟随Prowler。,,
DictKey_subtitle_,558,DictKey_subtitle_558,"PLAYER: Yeah, visual. Wait one.",玩家：是的，目视了。稍等。,,
DictKey_subtitle_,560,DictKey_subtitle_560,WINGMAN (CAPTAIN): Nicely dealt with.,僚机（CAPTAIN）：处理的相当漂亮。,,
DictKey_subtitle_,562,DictKey_subtitle_562,"PLAYER: Oh why, thank you. Let's hope that's the worst of the problems we deal with today.",玩家：哦？多谢夸奖。希望这就是我们今天遇到的最大麻烦了。,,
DictKey_subtitle_,566,DictKey_subtitle_566,"PLAYER: Civilian UH-1, bort X-Ray Whisky Papa Foxtrot Juliet, this is Dodge 1 flight, a pair of US Air Force A-10C Thunderbolts. You have entered an restricted zone, turn back immediately.",玩家：民用UH-1，机号XWPFJ，这里是Dodge 1编队，两架美国空军A-10C雷电攻击机。你已进入管制区域，立即返回。,,
DictKey_subtitle_,568,DictKey_subtitle_568,"HUEY PILOT: I am sorry Sir, understood, changing course now.",休伊飞行员：抱歉，长官，明白，正在改变航向。,,
DictKey_subtitle_,808,DictKey_subtitle_808,"PLAYER: OK, Dodge flight, take off briefing. We'll go with 10 seconds separation, flaps maneuvering. We'll keep the speed of 180 and climb with 1000 foot permitted up until you're joined up. Then we'll turn south towards Batumi and climb to 10 000. Questions?","玩家：好的，Dodge编队，起飞简报。我们将间隔10秒起飞，襟翼设机动位（7°，即起飞襟翼位）。保持速度180，爬升至1,000英尺汇合。然后转向南方前往Batumi，爬升至10,000英尺。有问题吗？",,
DictKey_subtitle_,810,DictKey_subtitle_810,WINGMAN (CAPTAIN): I hope it won't be as serious as the briefing says... though it does seem these guys do mean business.,僚机（CAPTAIN）：我希望情况不会像简报中说的那么严重……不过看起来这些家伙确实是认真的。,,
DictKey_subtitle_,812,DictKey_subtitle_812,"PLAYER: Well, we'd better be prepared for anything. Alright, Lead is rolling.",玩家：嗯……我们最好做好万全准备。好，长机开始滑行。,,
DictKey_subtitle_,814,DictKey_subtitle_814,PLAYER: Lead is gear up.,玩家：长机，收轮。,,
DictKey_subtitle_,816,DictKey_subtitle_816,"WINGMAN (CAPTAIN): Two, saddled.",僚机（CAPTAIN）：二号，已就位。,,
DictKey_subtitle_,818,DictKey_subtitle_818,"PLAYER:  Alright, Let's get to WP 2 and check in with Prowler 1. They should start stepping out once we arrive on station.",玩家：好的，我们前往航路点2，与Prowler 1联系。他们应该会在我们就位后行动。,,
DictKey_subtitle_,820,DictKey_subtitle_820,"WINGMAN (CAPTAIN): Two, roger. I don't really understand all the fuss. Why couldn't we simply airlift all of this equipment and personnel?",僚机（CAPTAIN）：二号，收到。我真不明白为什么要这么大费周章。为什么我们不能直接空运所有这些装备和人员呢？,,
DictKey_subtitle_,822,DictKey_subtitle_822,"PLAYER: I don't think there was enough time to organise airlift. This ammo and equipment was shipped from Aviano.  I agree - we don't need to send that column in broad daylight, with cameras and crowds of people...",玩家：我认为我们没有足够的时间来组织空运。这些弹药和装备是从Aviano（一处位于意大利的北约空军基地）运来的。不过我同意你的观点——我们没必要在大白天大张旗鼓的派这么一支车队，还有摄像机和人群……,,
DictKey_subtitle_,824,DictKey_subtitle_824,"WINGMAN (CAPTAIN): I understand that we're here to make the people feel better, but this.. this is going too far.",僚机（CAPTAIN）：我理解我们部署在这是为了让人们感到更安全，但这样……有些过头了。,,
DictKey_subtitle_,826,DictKey_subtitle_826,"PLAYER: Well, we are where we are, Captain. Let's just do our job.",玩家：嗯……，反正已经这样了，Captain。我们只管做好我们的工作。,,
